NAME,MB,MAE,RMSE,R2,STD_X,STD_Y,MEAN_X,MEAN_Y,R
North Coast,,,,,,,,,
Northeast Plateau,,,,,,,,,
Sacramento Valley,,,,,,,,,
Mountain Counties,,,,,,,,,
Lake County,,,,,,,,,
Lake Tahoe,,,,,,,,,
Great Basin Valleys,,,,,,,,,
San Joaquin Valley,,,,,,,,,
North Central Coast,,,,,,,,,
Mojave Desert,,,,,,,,,
South Central Coast,,,,,,,,,
Salton Sea,,,,,,,,,
San Francisco Bay,,,,,,,,,
South Coast,,,,,,,,,
San Diego County,,,,,,,,,
North,-10993617461372.75,187974017845395.47,260395111427638.6,0.6841147772346248,463306263697259.56,418286259764701.6,1170594521761333.5,1159600904299960.8,0.8305991531435369
Central,72702081230568.0,282601527085796.4,633214522943310.8,0.34510514041648643,782465280538618.8,1079103248501509.0,1500015498317811.2,1572717579548379.2,0.8178024454033466
South,296001374167016.0,465092953406284.06,1197426138637324.8,-0.16090347033182528,1111349553643599.5,1817629006842427.5,1660001188066576.0,1956002562233592.0,0.7902542101839275
